Welle;Score;Fit;Anlage;Ort;Bundesland;PLZ;E-Mail;Telefon;System;Boxen;Bar;Eventlocation;Typ;Website;Quellstatus;Kontakt-Status;Notizen;Ansprache-Status;Mail 1 am;Nachfass 1 am;Nachfass 2 am;Rückmeldung
1;B;Mittel;Indoor Golf Club Berlin / Golfzentrum Berlin Schöneberg;Berlin;Berlin;10829;info@golfzentrumberlin.de;+49 30 81828500;TrackMan / Simulatoren;11;;;Reines Simulatorstudio;https://www.golfzentrumberlin.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"Einer der großen Berliner Indoor-Golf-Standorte; Details/Betreibername prüfen.";Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;LAZY GOLF Hamburg;Hamburg;Hamburg;22177;info@lazygolf.de;+49 155 69189134;TrackMan iO;3;Ja;Eingeschränkt;Indoor-Golf-Lounge;https://www.lazygolf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seite mit strukturierten Standortdaten, Öffnungszeiten und TrackMan-Buchung.;Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;RUFF Golf Dreieich;Dreieich;Hessen;63303;dreieich@ruffgolf.de;+49 6103 7894071;TrackMan;6;;;Indoor-Golf-Lounge;https://ruffgolf.eu/de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"RUFF-Standort in Dreieich; Strawberry-Tour führt Adresse und Kontakt.";angemeldet;10.09.2026;;;Weihnachtsfeier live auf /firmenevents/weihnachtsfeier-im-ruff/ (84 bis 119 € p. P.), erste Indoor-Partneranlage
1;B;Mittel;GOLFINN | Indoor-Golf Loft Wuppertal;Wuppertal;Nordrhein-Westfalen;42369;m.odendahl@golf-inn.de;0175 4820027;Simulatoren / Indoor-Puttinggreen;2;;;Indoor-Golf-Lounge;https://www.golf-inn.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Kontaktseite nennt Indoor-Golf Loft und Anmeldungspflicht.;Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;Indoor-Golf-Ruhrpott;Mülheim an der Ruhr;Nordrhein-Westfalen;45475;info@indoor-golf-ruhrpott.de;0208 45798275;TrackMan 4;10;;;Reines Simulatorstudio;https://trackrange.golf/indoor-golf-ruhrpott/;Aktiv – aktuelle Quelle;Kontakt vollständig;Aktuelle Quellen nennen große TrackMan-Anlage in Mülheim.;Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;RUFF Golf Düsseldorf;Düsseldorf;Nordrhein-Westfalen;40547;duesseldorf@ruffgolf.de;+49 173 4231828;TrackMan;7;;;Indoor-Golf-Lounge;https://ruffgolf.eu/de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"RUFF-Standort Düsseldorf; Strawberry-Tour listet Adresse.";Mail 1 gesendet (über dreieich@);10.09.2026;;;
1;B;Mittel;Seven Tees Köln / Hürth;Hürth;Nordrhein-Westfalen;50354;koeln@seventees.golf;+49 2233 9623993;TrackMan;;;;Indoor-Golf-Lounge;https://seventees.golf/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seven-Tees-Standortseite.;Mail 1 gesendet (über muenchen@);10.09.2026;;;
1;B;Mittel;RUFF Indoor-Golf Ostsee;Scharbeutz;Schleswig-Holstein;23684;ostsee@ruffgolf.de;+49 155 61704576;TrackMan;;;;Indoor-Golf-Lounge;https://ruffgolf.eu/de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"RUFF-Standort bei Lübeck; Strawberry-Tour listet Adresse.";Mail 1 gesendet (über dreieich@);10.09.2026;;;
2;C;Prüfen;Indoor Golf Mannheim 77;Mannheim;Baden-Württemberg;68309;golfshopnopro@web.de;+49 151 42610130;TrackMan laut Suchumfeld;;;;Reines Simulatorstudio;;Verzeichnis + Suche bestätigt;Kontakt vollständig;"Eigenständiger Indoor-Golf-Standort; Detaildaten prüfen.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Indoor Golf Rottal;Johanniskirchen;Bayern;84381;paullamprecht@t-online.de;;TrackMan;;;;Reines Simulatorstudio;https://www.indoor-golf-rottal.com/;Aktiv – aktuelle Quelle;Telefon fehlt;Strawberry-Tour listet den Standort als Indoor-Partneranlage.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;TOUR GREEN Indoor Golf Center;Oberhaid;Bayern;96173;info@tourgreen.de;+49 9503 5088920;;;;;Reines Simulatorstudio;;Verzeichnis + Suche bestätigt;Kontakt vollständig;"Indoor-Golf-Center in Franken; aktuelle Details prüfen.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;chigolf - The Movement Code;Hohenbrunn;Bayern;85662;info@chigolf.de;+49 174 3177050;Simulator / Bewegungsanalyse;;;;Golfshop/Fitting/Training;https://www.chigolf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"Golfbewegungs- und Indoor-Trainingsstudio; Adresse aus aktuellem Such-/Verzeichnistreffer.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Golftempel Berlin;Berlin;Berlin;;info@golftempel.de;+49 152 33978290;;1;;;Reines Simulatorstudio;https://golftempel.de/;Aktiv – aktuelle Quelle;Adresse fehlt;"Offizielle Buchungsseite vorhanden; Standortadresse nicht öffentlich gefunden.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Kim Golf & Essen / Kim Screen Golf Berlin;Berlin;Berlin;10555;kimscreengolf@gmail.com;+49 30 20009500;Screen Golf;;;;Reines Simulatorstudio;;Verzeichnis + Suche bestätigt;Kontakt vollständig;Restaurant/Screen-Golf-Angebot, eigenständig und nicht Golfplatz.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Nate Danner Golf - Indoor Studio Reinickendorf;Berlin;Berlin;13403;natedanner@pga.com;;Indoor Studio;;;;Golfshop/Fitting/Training;https://www.natedannergolf.com/;Aktiv – aktuelle Quelle;Telefon fehlt;Zweiter offizieller Indoor-Studio-Standort.;Entwurf in Outlook (eine Mail für beide Studios);10.09.2026 Entwurf;;;
2;C;Prüfen;Nate Danner Golf - Indoor Studio Schöneberg;Berlin;Berlin;10777;natedanner@pga.com;;TrackMan / Indoor Studio;;;;Golfshop/Fitting/Training;https://www.natedannergolf.com/;Aktiv – aktuelle Quelle;Telefon fehlt;Offizielle Quelle nennt Indoor-Studio-Standort in Schöneberg.;Entwurf in Outlook (eine Mail für beide Studios);10.09.2026 Entwurf;;;
2;C;Prüfen;Eagleswing Indoor Golf Studio;Hamburg;Hamburg;22159;team@eagleswing.de;+49 160 91278162;Foresight Sports Falcon;1;Nein;Eingeschränkt;Reines Self-Service-Studio;https://eagleswing.de/;Aktiv – offizielle Seite bestätigt;Kontakt vollständig;"Ein Simulator, keine Mitarbeitenden vor Ort; kleiner Kühlschrank und Snacks auf Vertrauensbasis.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Golf in a Box Hamburg – Niendorf;Hamburg;Hamburg;22457;info@golf-in-a-box.de;+49 151 50562874;TrackMan iO;1;Nein;Eingeschränkt;Reines Self-Service-Studio;https://golf-in-a-box.de/;Aktiv – offizielle Buchung bestätigt;Kontakt vollständig;"Zweiter Standort; keine eigene Gastronomie belegt.";Entwurf in Outlook (eine Mail für beide Standorte);10.09.2026 Entwurf;;;
2;C;Prüfen;Golf in a Box Hamburg – Rotherbaum;Hamburg;Hamburg;20146;info@golf-in-a-box.de;+49 151 50562874;TrackMan iO;1;Nein;Eingeschränkt;Reines Simulatorstudio;https://golf-in-a-box.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Website nennt TrackMan iO und Adresse in Hamburg.;Entwurf in Outlook (eine Mail für beide Standorte);10.09.2026 Entwurf;;;
2;C;Prüfen;Green Grid Golf Club;Hamburg;Hamburg;22303;club@green-grid-golf.de;+49 40 6360768811;TrackMan;2;;;Reines Simulatorstudio;https://green-grid-golf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"Digitaler Golfclub mit innerstädtischem Clubhaus; Zugang eventuell mitgliedschaftsbasiert.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;HIO Fitting Hamburg;Hamburg;Hamburg;20146;hamburg@hio-fitting.de;+49 89 96030575;TrackMan iO;1;Nein;Nein;Golfshop/Fitting/Training;https://hio-fitting.de/hamburg/;Aktiv – offizielle Seite bestätigt;Kontakt vollständig;"Gleicher physischer Standort wie Golf in a Box Rotherbaum; separater B2B-Ansprechpartner, keine zusätzliche Anlage zählen.";übersprungen, gleicher Standort wie Golf in a Box Rotherbaum;;;;
2;C;Hoch;Tee It Up Hamburg;Hamburg;Hamburg;22419;info@teeitupgolf.de;;Golfzon TwoVisionNX;5;Geplant;Geplant;Eventlocation/Golfbar;https://www.teeitupgolf.de/;Geplant – Eröffnung Oktober 2026;Telefon fehlt;Geplante Full-Service-Location mit Speisen, Getränken und Firmenevents.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Hoch;Indoor Golf & Lounge Kronberg;Kronberg;Hessen;61476;office@indoorgolf-kronberg.de;;TrackMan;3;Ja;Ja;Indoor-Golf-Lounge;;Verzeichnis + Suche bestätigt;Telefon fehlt;"Indoor-Golf-Lounge im Verzeichnis; Suchtreffer nennt 3 Simulatoren.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Hoch;The Golf Loft Bensheim;Bensheim;Hessen;64625;info@thegolfloft.de;06251 5503853;TrackMan iO / TrackMan 4;5;Ja;Ja;Indoor-Golf-Lounge;https://www.thegolfloft.de/;Temporär geschlossen – offizielle Seite;Kontakt vollständig;Offizielle Seite nennt 5 TrackMan-Simulatoren, Sommerbetrieb und Adresse.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;GOLF LIFE Langenfeld;Langenfeld;Nordrhein-Westfalen;40764;info@golf-life.de;+49 2173 1065830;TrackMan;;;;Golfshop/Fitting/Training;https://www.golf-life.de/;Verzeichnis + Shop/Fitter bestätigt;Kontakt vollständig;"Golfshop/Fitting mit buchbarem Indoor-Golf; nicht Golfplatz.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Next Golf Münster;Münster;Nordrhein-Westfalen;48153;info@next-golf.de;01578 5134742;TrackMan iO;;;;Eventlocation/Golfbar;https://next-golf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"Offizielle Seite nennt Münsters erste Indoor-Golf-Halle; Strawberry-Tour listet Standort.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Team Spieckerhoff Indoorgolf;Langenfeld;Nordrhein-Westfalen;40764;info@team-spieckerhoff.de;+49 2173 2699154;;;;;Golfshop/Fitting/Training;https://team-spieckerhoff.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seite nennt moderne Indoor-Golfanlage, Firmenevents und Proshop.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;VYBE Golfstudio Saarbrücken;Saarbrücken;Saarland;66123;info@vybegolf.de;0681 83049280 / 0178 9822500;TrackMan;2;;;Reines Simulatorstudio;https://vybegolf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seite nennt zwei moderne TrackMan-Simulatoren.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Hoch;GO! Indoor Golfclub Dresden – Waldschlösschen;Dresden;Sachsen;01099;info@golf-offensive.de;;TrackMan iO;4;Geplant;Geplant;Eventlocation/Golfbar;https://www.golf-offensive.de/;Geplant – Eröffnung November 2026;Telefon fehlt;Vier geplante TrackMan-iO-Simulatoren im Waldschlösschen-Areal.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Golf At Your Best Leipzig;Leipzig;Sachsen;04357;info@golfatyourbest.com;+49 172 3404482;;;;;Golfshop/Fitting/Training;;Verzeichnis + Suche bestätigt;Kontakt vollständig;Eigenständiger Indoor-Golf-/Trainingseintrag in Leipzig.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Birdie Box Hamburg;Schenefeld;Schleswig-Holstein;22869;golf@birdiebox.hamburg;0155 6070 1852;TrackMan iO;2;Nein;Nein;Reines Simulatorstudio;https://birdiebox.hamburg/;Pausiert bis Oktober 2026;Kontakt vollständig;"Eigenständiges Indoor-Golfcenter; Website meldet aktuell geschlossen und Wiederöffnung ab Oktober 2026.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Hoch;Eisen Sieben Indoor Golf;Glinde;Schleswig-Holstein;21509;info@eisen-sieben.com;+49 172 3077737;TrackMan;8;Ja;Ja;Reines Simulatorstudio;https://eisen-sieben.com/;Verzeichnis + TIM bestätigt;Kontakt vollständig;"Eigenständige Indoor-Golfanlage bei Hamburg; TIM nennt acht TrackMan-Simulatoren. | E-Mail-Quelle: https://eisen-sieben.com/impressum/";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;X-Flex Golf Kaltenkirchen;Kaltenkirchen;Schleswig-Holstein;24568;info@x-flexgolf.de;+49 4191 7034258;TrackMan;;;;Golfshop/Fitting/Training;https://www.x-flexgolf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seite mit Simulatorbuchung und Preisen.;Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Indoor Golf Erfurt;Erfurt;Thüringen;99094;kontakt@indoor-golf-erfurt.de;+49 171 6439567;;;;;Reines Simulatorstudio;;Verzeichnis + Suche bestätigt;Kontakt vollständig;"Indoor-Golf-Eintrag; aktuelle Öffnung prüfen.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;C;Prüfen;Indoor Golf Oberhof;Oberhof;Thüringen;98559;info@physiofit-am-rennsteig.de;;TrackMan laut Suchumfeld;;;;Reines Simulatorstudio;;Aktiv – aktuelle Quelle;Telefon fehlt;"Aktueller Treffer für Indoor Golf Oberhof; Betreiber/Öffnungszeiten prüfen.";Entwurf in Outlook;10.09.2026 Entwurf;;;
2;D;Prüfen;Golfersworld Moosinning;Moosinning;Bayern;85452;info@golfersworld.de;;;5;;Ja;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Telefon fehlt;"Fünf Simulatoren; Restaurant/Catering laut Branchenverzeichnis.";Entwurf in Outlook;10.09.2026 Entwurf;;;
3;D;Prüfen;Berliner Golf Club Gatow;Berlin;;;info@golfclubgatow.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub;offen;;;;
3;D;Prüfen;Golf Club St. Leon-Rot;St. Leon-Rot;;;info@gc-slr.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub/Leistungszentrum;offen;;;;
3;D;Prüfen;Golf Lounge Resort Hamburg;Hamburg;;;mail@golflounge.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Driving Range/9-Loch-/Resortcharakter, nicht reine Indoor-Lounge;offen;;;;
3;D;Prüfen;Golf-Park Dessau;Dessau;;;info@golfclub-dessau.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfpark/Golfanlage;offen;;;;
3;D;Prüfen;Golfanlage Schopfheim;Schopfheim;;;post@golfanlage-schopfheim.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfanlage;offen;;;;
3;D;Prüfen;Golfclub Bayreuth;Bayreuth;;;info@gc-bayreuth.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub;offen;;;;
3;D;Prüfen;Golfclub Bruckmannshof;Hünxe;;;gc-bruckmannshof@t-online.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub/Golfanlage, daher nicht Hauptliste;offen;;;;
3;D;Prüfen;Golfclub Grevenmühle;Ratingen;;;golfclub@grevenmuehle.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub/Golfanlage, daher nicht eigenständiger Simulatoranbieter;offen;;;;
3;D;Prüfen;Golfclub Herzogenaurach;Herzogenaurach;;;info@golfclub-herzogenaurach.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub;offen;;;;
3;D;Prüfen;Golfclub Pfaffing Wasserburger Land;Pfaffing;;;club@gcpwl.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub-Standort, nicht eigenständige Simulatorlounge;offen;;;;
3;D;Prüfen;Golfpark Bostalsee;Nohfelden;;;info@golfpark-bostalsee.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfpark/Golfanlage;offen;;;;
3;D;Prüfen;Golfpark Gudensberg;Gudensberg;;;info@golfpark-gudensberg.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfpark/Golfanlage;offen;;;;
3;D;Prüfen;Golfpark Neustadt/Harz;Neustadt/Harz;;;indoor@golfpark-neustadt.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfpark/Golfanlage;offen;;;;
3;D;Prüfen;Hotel Central Hof;Hof;;;info@hotel-central-hof.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Hotel mit Simulator;offen;;;;
3;D;Prüfen;Indoor Golf Marhördt / Golfclub Marhördt;Oberrot-Marhördt;;;info@golfclub-marhoerdt.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub/Golfanlage;offen;;;;
3;D;Prüfen;Indoor Golf Mudau / Golfclub Mudau;Mudau;;;info@golfclub-mudau.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfclub/Freizeitanlage mit Golfplatzbezug;offen;;;;
3;D;Prüfen;PARKHOTEL STUTTGART MESSE-AIRPORT;Leinfelden-Echterdingen;;;Info@Parkhotel-Stuttgart.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Hotel mit Simulator, kein eigenständiger Anbieter;offen;;;;
3;D;Prüfen;Quellness & Golf Resort Bad Griesbach;Bad Griesbach;;;golfresort@quellness-golf.com;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfresort/Hotel;offen;;;;
3;D;Prüfen;Schloss Langenstein;Orsingen-Nenzingen;;;golf-sekretariat@schloss-langenstein.com;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Golfanlage/Schlossanlage;offen;;;;
3;D;Prüfen;Wellnesshotel THE GRAND Ahrenshoop;Ahrenshoop;;;info-spa@the-grand.de;;;;;;Hotel/Resort-Box;;Verzeichnisfund – prüfen;Adresse fehlt;Hotel/Wellnessresort;offen;;;;
3;D;Prüfen;0711Golfschule Esslingen;Esslingen;Baden-Württemberg;73728;info@0711Golfschule.de;;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Telefon fehlt;Nicht in Hauptliste gezählt, bis klar ist, ob regelmäßige unabhängige Simulatorbuchung möglich ist.;offen;;;;
3;D;Prüfen;Adventure&Indoor Golf;Balingen;Baden-Württemberg;72336;info@golf-balingen.de;+49 7433 385990;;;;;Sport-/Freizeitzentrum;;Verzeichnisfund – prüfen;Kontakt vollständig;"Eigenständiges Freizeitangebot im Verzeichnis; aktuelle Website/Öffnung noch nachprüfen.";offen;;;;
3;D;Prüfen;Der Öschberghof Indoor Golf;Donaueschingen;Baden-Württemberg;;golf@oeschberghof.com;;;;;;Hotel/Resort-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golf-Welt Hochrhein;;Baden-Württemberg;;info@golfwelt-hochrhein.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
